#
# ASTM E-490 Reference Spectra Derived from SMARTS v. 2.9.2 (AM1.5)
# Wavelength (nm),
# Irradiance W*m-2*nm-1
#
Wavelength,Irradiance
2098,9.620E-02
2100,9.606E-02
2102,9.577E-02
2104,9.559E-02
2106,9.574E-02
2108,9.513E-02
2110,9.396E-02
2112,9.452E-02
2114,9.436E-02
2116,9.331E-02
2118,9.311E-02
2120,9.275E-02
2122,9.275E-02
2124,9.189E-02
2126,9.208E-02
2128,9.225E-02
2130,9.209E-02
2132,9.210E-02
2134,9.155E-02
2136,9.012E-02
2138,9.110E-02
2140,9.083E-02
2142,9.064E-02
2144,9.006E-02
2146,8.939E-02
2148,8.979E-02
2150,8.957E-02
2152,8.913E-02
2154,8.878E-02
2156,8.874E-02
2158,8.842E-02
2160,8.781E-02
2162,8.686E-02
2164,8.456E-02
2166,7.849E-02
2168,8.300E-02
2170,8.557E-02
2172,8.591E-02
2174,8.592E-02
2176,8.532E-02
2178,8.425E-02
2180,8.497E-02
2182,8.425E-02
2184,8.457E-02
